"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the resume link exposes the expected downloadable PDF.","37","test_resume_download_link_has_pdf_destination","tests.e2e","2026-09-21","passed","2026-09-21","","test_download_resume","",""
"","189","test_experience_popup_contains_current_role","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"Verify clicking the resume link starts a download with the expected name.","240","test_resume_download_produces_expected_file","tests.e2e","2026-09-21","passed","2026-09-21","","test_download_resume","",""
"","200","test_cv_builder_popup_contains_project_link","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","175","test_philosophy_popup_contains_outcome","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","170","test_case_study_navigation_reaches_projects","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","1157","test_mobile_navigation_has_menu_button","tests.e2e","2026-09-21","skipped","2026-09-21","","test_portfolio","",""
"","273","test_toolset_popup_contains_automation_section","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","166","test_contact_links_are_available","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","1551","test_car_watcher_popup_contains_project_title","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","181","test_contact_cta_navigates_to_contact","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","183","test_certificate_popup_contains_certificate_title","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","49","test_profile_photo_is_visible","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
"","28","test_homepage_is_visible","tests.e2e","2026-09-21","passed","2026-09-21","","test_portfolio","",""
