"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","test_toolset_popup_contains_automation_section","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","305","test_car_watcher_popup_contains_project_title","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","218","test_contact_links_are_available","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","1166","test_mobile_navigation_has_menu_button","tests.e2e","2026-09-14","skipped","2026-09-14","","test_portfolio","",""
"","220","test_contact_cta_navigates_to_contact","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","298","test_experience_popup_contains_current_role","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"Verify clicking the resume link starts a download with the expected name.","320","test_resume_download_produces_expected_file","tests.e2e","2026-09-14","passed","2026-09-14","","test_download_resume","",""
"","183","test_homepage_is_visible","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","277","test_certificate_popup_contains_certificate_title","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","177","test_profile_photo_is_visible","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"Verify the resume link exposes the expected downloadable PDF.","85","test_resume_download_link_has_pdf_destination","tests.e2e","2026-09-14","passed","2026-09-14","","test_download_resume","",""
"","261","test_philosophy_popup_contains_outcome","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","335","test_cv_builder_popup_contains_project_link","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
"","243","test_case_study_navigation_reaches_projects","tests.e2e","2026-09-14","passed","2026-09-14","","test_portfolio","",""
