"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","256","test_toolset_popup_contains_automation_section","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","246","test_certificate_popup_contains_certificate_title","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","260","test_experience_popup_contains_current_role","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","1144","test_mobile_navigation_has_menu_button","tests.e2e","2026-09-23","skipped","2026-09-23","","test_portfolio","",""
"","223","test_contact_links_are_available","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","231","test_philosophy_popup_contains_outcome","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","256","test_cv_builder_popup_contains_project_link","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","226","test_contact_cta_navigates_to_contact","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","41","test_homepage_is_visible","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"Verify clicking the resume link starts a download with the expected name.","528","test_resume_download_produces_expected_file","tests.e2e","2026-09-23","passed","2026-09-23","","test_download_resume","",""
"","224","test_case_study_navigation_reaches_projects","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","162","test_profile_photo_is_visible","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"","1607","test_car_watcher_popup_contains_project_title","tests.e2e","2026-09-23","passed","2026-09-23","","test_portfolio","",""
"Verify the resume link exposes the expected downloadable PDF.","97","test_resume_download_link_has_pdf_destination","tests.e2e","2026-09-23","passed","2026-09-23","","test_download_resume","",""
