"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","test_experience_popup_contains_current_role","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","251","test_car_watcher_popup_contains_project_title","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","179","test_profile_photo_is_visible","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"Verify clicking the resume link starts a download with the expected name.","257","test_resume_download_produces_expected_file","tests.e2e","2026-09-24","passed","2026-09-24","","test_download_resume","",""
"Verify the resume link exposes the expected downloadable PDF.","79","test_resume_download_link_has_pdf_destination","tests.e2e","2026-09-24","passed","2026-09-24","","test_download_resume","",""
"","236","test_contact_links_are_available","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","239","test_contact_cta_navigates_to_contact","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","274","test_certificate_popup_contains_certificate_title","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","1168","test_mobile_navigation_has_menu_button","tests.e2e","2026-09-24","skipped","2026-09-24","","test_portfolio","",""
"","260","test_toolset_popup_contains_automation_section","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","267","test_philosophy_popup_contains_outcome","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","177","test_homepage_is_visible","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","286","test_cv_builder_popup_contains_project_link","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
"","249","test_case_study_navigation_reaches_projects","tests.e2e","2026-09-24","passed","2026-09-24","","test_portfolio","",""
